,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
11206,B_cells,PSMC4,1,1,1,0,0,3
11207,gi_epithelial,PSMC4,1,1,1,1,0,4
11208,B_cells,PSMD8,1,1,1,1,0,4
11209,gi_epithelial,PSMD8,1,0,1,0,0,2
11210,B_cells,PSME1,1,0,1,1,0,3
11211,fibroblasts,PSME1,1,0,1,1,0,3
11212,B_cells,PTBP3,0,1,1,1,1,4
11213,gi_epithelial,PTBP3,0,1,1,1,0,3
11214,B_cells,PTP4A2,1,0,1,1,0,3
11215,gi_epithelial,PTP4A2,1,0,1,0,0,2
11216,B_cells,PTPRF,1,0,1,1,1,4
11217,endothelial,PTPRF,1,0,0,1,1,3
11218,B_cells,PYCR1,1,1,1,1,0,4
11219,gi_epithelial,PYCR1,1,0,1,0,0,2
11220,B_cells,RAB1A,1,1,1,0,0,3
11221,gi_epithelial,RAB1A,1,0,1,0,0,2
11222,gi_epithelial,PTK2,0,1,1,1,0,3
11223,stromal,PTK2,0,1,0,1,1,3
11224,B_cells,PLS1,1,0,1,1,1,4
11225,gi_epithelial,PLS1,1,0,1,0,0,2
11226,B_cells,PLPP5,0,0,1,1,0,2
11227,gi_epithelial,PLPP5,0,0,1,0,0,1
11228,B_cells,PLCG2,1,1,1,1,0,4
11229,neuroendocrine,PLCG2,1,1,1,1,0,4
11230,gi_epithelial,RNF181,1,0,1,0,0,2
11231,cd8_Tcells,RNF181,1,0,1,0,1,3
11232,gi_epithelial,PTRHD1,0,0,1,1,0,2
11233,cd8_Tcells,PTRHD1,0,0,1,1,1,3
11234,B_cells,NFIC,0,0,1,1,1,3
11235,gi_epithelial,NFIC,0,0,1,1,0,2
11236,B_cells,NOLC1,1,0,1,1,0,3
11237,gi_epithelial,NOLC1,1,0,1,0,0,2
11238,B_cells,NPM3,1,0,1,1,1,4
11239,gi_epithelial,NPM3,1,0,1,0,0,2
11240,B_cells,NUCB2,0,0,1,0,0,1
11241,gi_epithelial,NUCB2,0,0,1,1,0,2
11242,B_cells,NUDT22,1,0,1,1,0,3
11243,gi_epithelial,NUDT22,1,0,1,0,0,2
11244,gi_epithelial,RNF180,1,0,1,0,0,2
11245,neuroendocrine,RNF180,1,0,1,0,0,2
11246,gi_epithelial,PTPRM,1,1,1,1,1,5
11247,neuroendocrine,PTPRM,1,1,0,1,0,3
11248,B_cells,OS9,1,1,1,1,0,4
11249,gi_epithelial,OS9,1,0,1,0,0,2
11250,B_cells,PARD6B,1,1,1,1,1,5
11251,gi_epithelial,PARD6B,1,0,1,0,0,2
11252,B_cells,PKP3,1,0,1,0,1,3
11253,gi_epithelial,PKP3,1,0,1,1,0,3
11254,B_cells,PARK7,1,0,0,1,0,2
11255,cd8_Tcells,PARK7,1,0,0,1,0,2
11256,B_cells,PCGF3,0,0,1,0,0,1
11257,gi_epithelial,PCGF3,0,0,1,1,0,2
11258,B_cells,PDIA6,1,0,1,1,0,3
11259,monocytes_macs_DCs,PDIA6,1,0,1,1,0,3
11260,gi_epithelial,PTPRC,1,1,1,1,1,5
11261,stromal,PTPRC,1,1,1,1,0,4
11262,B_cells,PECAM1,1,0,1,1,1,4
11263,gi_epithelial,PECAM1,1,0,1,0,1,3
11264,B_cells,PGK1,1,1,1,1,0,4
11265,gi_epithelial,PGK1,1,1,1,1,0,4
11266,B_cells,PGM3,1,1,1,1,0,4
11267,gi_epithelial,PGM3,1,0,1,0,0,2
